Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
100,905,1.088862346,0.614221277,0.679429429,0.614468548,39.33040437,43.41658669,13.60147051,5.073573411,4.472135955,30.6397308,31.03695317,136.044
101,819,1.451131439,0.901182077,0.56875,0.606314933,50.46394641,50.56678752,10.19803903,4.392123795,4,21.9335419,21.87312969,130.286
102,491,1.111880241,0.721303795,0.697443182,0.654738095,30.68340526,32.01562119,10.19803903,3.917527176,3.605551275,20.3178196,21.25190405,97.076
103,308,1.006476281,0.103797494,0.77,0.830182464,19.96617862,20.61552813,9.433981132,3.539986099,3.08113883,18.33575742,19.85833035,68.28
104,724,1.397352275,0.89609707,0.522366522,0.552225022,46.39062196,47.70744177,9.848857802,4.121054963,3.605551275,20.18384415,20.5908548,128.356
105,333,1.178663875,0.772928946,0.587301587,0.656565893,26.7385471,28.63564213,8.062257748,3.224991332,3,17.48889758,16.96540995,79.834
106,452,1.018583017,0.469714002,0.695384615,0.808179672,25.70508811,25.8069758,10.77032961,4.068399475,3.605551275,21.92031022,22.692931,83.834
107,726,1.60939464,0.925133917,0.477631579,0.555844487,50.98261388,49.04079934,9.848857802,3.964906434,3.605551275,20.06578637,19.35508698,128.114
108,244,1.074534521,0.651741863,0.645502646,0.808259983,20.64203759,21.54065923,7.615773106,3.050968653,2.828427125,14.8,15.65576482,61.592
109,980,2.196583871,0.959612062,0.325041459,0.354730345,71.20629662,74.79304781,10.04987562,3.813812245,3.605551275,22.14945604,20.03222982,186.324
110,396,1.065857859,0.632732158,0.642857143,0.713897938,25.96175232,27.16615541,9.219544457,3.661029981,3.16227766,20.23857703,20.10402091,83.49
111,838,1.518050775,0.925085529,0.658805031,0.629022069,53.19001558,54.12023651,10.44030651,4.41916624,4,20.3729925,20.1993778,129.388
112,447,1.097176187,0.724567011,0.687692308,0.799239631,29.13420892,30.61045573,10.44030651,3.943869046,3.605551275,19.79898987,20.07942376,83.834
113,283,1.069988938,0.693179263,0.641723356,0.706745267,22.5781992,21.9544984,7.615773106,3.201007905,2.828427125,15.55634919,16.27358081,70.936
114,682,1.319419589,0.836374699,0.511627907,0.57311366,41.98426143,43.68065934,9.848857802,4.038863773,3.605551275,24.00349527,23.01401531,122.286
115,667,1.028145863,0.58449627,0.741111111,0.852678481,32.47306409,32.55764119,13,4.943331872,4.242640687,25.45584412,26.34852715,99.146
116,1058,1.178236452,0.605451283,0.511605416,0.547441419,44.078037,46.27094121,14.56021978,5.173773378,4.242640687,35.05512581,35.08093246,155.84
117,437,1.101140901,0.603605267,0.606944444,0.679412091,27.40663968,29.61418579,9.899494937,3.719927117,3.16227766,21.79686785,21.85085649,89.904
118,701,1.332387146,0.871773126,0.574119574,0.615527806,43.8003319,44.82186966,10.19803903,4.214305522,4,21.7575218,21.45821205,119.63
119,503,1.249185359,0.846332921,0.586247086,0.586271361,35.32982008,34.66987165,9.219544457,3.696357538,3.16227766,19.12661983,18.81858002,103.834
120,706,1.202311088,0.752772531,0.637759711,0.608653011,38.84637879,41.10960958,12.04159458,4.489621018,4,26,25.57182248,120.732
121,747,1.105964531,0.642861097,0.614309211,0.645838584,36.42711431,39.56008089,12.52996409,4.665061263,4.123105626,28.05583962,27.90254208,120.56
122,396,1.178190229,0.801516732,0.589285714,0.658909117,29.62097966,28.16025568,8.485281374,3.445846244,3.16227766,17.95998262,17.71252673,86.904
123,503,1.304482868,0.863863909,0.540860215,0.599733637,36.52911039,37.48332963,8.94427191,3.664345632,3.16227766,18.83095333,18.40063596,102.662
124,880,1.487288865,0.906211117,0.544217687,0.588205302,53.1548681,52.80151513,12.04159458,4.499408883,4.123105626,23.24234354,22.47523421,137.114
125,407,1.098338425,0.753522646,0.765037594,0.771510919,28.2319083,27.78488798,9.433981132,3.765921389,3.16227766,18,18.56027623,81.42
126,588,1.21015184,0.814217922,0.611226611,0.596288454,36.83357452,40.24922359,10.04987562,3.970195164,3.605551275,22.93966408,21.38407662,111.318
127,788,1.161645048,0.796024115,0.70990991,0.760934916,41.31210483,40.81666326,11.40175425,4.821130783,4.472135955,24.18034342,25.00476729,114.076
128,887,1.533995659,0.920771853,0.458397933,0.53183429,54.81579021,58.05170109,11.18033989,4.396234645,4,22.46535795,21.38372302,144.77
129,487,1.281706275,0.862013866,0.567599068,0.667766397,35.58588132,34.92849839,8.94427191,3.712428482,3.605551275,17.51901824,18.03793866,95.732
130,544,1.099966909,0.731169734,0.686868687,0.761755066,32.27493243,33.52610923,11,4.23370395,3.605551275,23,22.0178165,94.732
131,652,1.044489853,0.616003252,0.731762065,0.799253512,32.73569523,32.31098884,12.64911064,4.787216139,4.242640687,25.25456599,25.7873347,101.248
132,643,1.222498417,0.839054753,0.730681818,0.713896985,39.31553341,39.62322551,10.44030651,4.274227016,4,21,21.38949741,106.388
133,433,1.072590565,0.700303256,0.702922078,0.725675096,28.02791894,27.65863337,9.219544457,3.840764533,3.605551275,21,20.00760285,86.592
134,684,1.292096807,0.864372091,0.678571429,0.592057595,42.39122648,41.19465985,10,4.207080827,4,21.08590488,21.31654481,120.49
135,1008,1.699393488,0.941476448,0.763636364,0.574481413,62.54374178,59.03388857,10.19803903,4.541028022,4.123105626,20.09433168,21.08216766,148.49
136,569,1.323141897,0.885257359,0.68062201,0.713940885,39.71653369,39.39543121,9.433981132,3.984931554,3.605551275,18.19814314,18.4722195,100.076
137,752,1.155888469,0.739040442,0.565413534,0.67934554,39.03131453,39.92492956,11.66190379,4.522773821,4.123105626,25.2,26.29387675,117.942
138,595,1.303672553,0.875803351,0.725609756,0.678107581,40.03965993,40.60788101,9.848857802,4.084134674,3.605551275,19,19.32586637,105.006
139,1397,1.346469238,0.640797853,0.415279429,0.463404161,54.8659511,65.8634952,16.1245155,5.427731023,4.472135955,43.24292219,42.12112031,194.636
140,1110,1.964059823,0.947911905,0.3595724,0.418644414,70.93058696,74.88658091,11.66190379,4.369225269,4,23.33452378,22.59370466,182.534
141,362,1.220579009,0.81676497,0.583870968,0.576447817,29.09397176,30.59411708,8,3.236569955,3,18.37875645,16.7863641,88.834
142,227,1.044381857,0.415526907,0.66374269,0.739504179,18.23004218,18.97366596,7.615773106,2.975994511,2.828427125,16.36365579,16.58169793,62.108
143,936,1.144886463,0.552029911,0.507317073,0.58322432,40.12336017,44.10215414,13,4.861398276,4.242640687,33.8017363,33.45583304,142.012
144,404,1.254943346,0.860266265,0.605697151,0.711181759,32.04466814,31.76476035,8.485281374,3.463042169,3.16227766,16.54690303,16.33781473,84.49
145,525,1.190417757,0.834995984,0.669642857,0.798368108,34.97697224,34.71310992,9.433981132,4.062670205,3.605551275,18.94945823,19.24629012,90.904
146,365,1.188221494,0.811937389,0.584935897,0.715316078,28.7409889,29.73213749,8.485281374,3.420031264,3,16.26345597,16.77739506,80.076
147,785,1.092857006,0.71939412,0.670940171,0.71882735,38.40042525,39.92492956,13,4.92318173,4.242640687,26.67179438,26.67301663,117.146
148,692,1.582886249,0.920593027,0.487667371,0.52442884,49.18716293,52.20153254,10,3.874282078,3.605551275,19.6,19.20873513,128.77
149,953,1.097165832,0.749942398,0.714928732,0.80402564,43.0385737,43.41658669,14.31782106,5.560625121,5,30,28.47015152,122.044
150,615,1.475939588,0.895188063,0.636645963,0.564139707,43.91825161,45.39823785,9.219544457,3.772029483,3.605551275,19.20421777,19.57386423,117.044
151,957,1.226045434,0.830979962,0.645748988,0.661803608,47.76082799,52.34500931,13.89244399,5.16169593,4.472135955,27.72724292,26.56946075,134.802
152,493,1.069149413,0.659481583,0.684722222,0.79862264,29.3180221,30.08321791,10.63014581,4.101631699,3.605551275,22.25241136,22.0389647,88.076
153,659,1.09884974,0.704517416,0.625830959,0.687746975,35.03979017,38.83297568,12.08304597,4.480987983,4,25.61444905,24.86727301,109.732
154,988,1.447607179,0.869535123,0.443845463,0.449560756,54.08906382,52.63078947,12.08304597,4.43471274,4,26.56067795,26.71302584,166.184
155,714,1.561544969,0.92625559,0.477272727,0.592943233,49.85002631,50.7740091,9.433981132,4.024384176,3.605551275,18.38477631,18.78827461,123.012
156,333,1.347452803,0.8361889,0.540584416,0.583817421,29.67675419,29.68164416,7.211102551,3.000646289,2.828427125,16.15503779,16.27596477,84.662
157,870,1.179665778,0.768470764,0.604166667,0.625707466,43.06385366,45.22167622,12.36931688,4.760365509,4.242640687,28.6,27.55590966,132.184
158,917,1.210690349,0.733694537,0.569565217,0.609251974,43.97799331,46.57252409,13.92838828,4.883547028,4.123105626,32.69189779,29.8821428,137.528
159,882,1.443377014,0.837793476,0.434911243,0.454959572,49.96170209,55.54277631,11.70469991,4.408726081,4,29.5001381,27.278453,156.082
160,109,1.132849924,0.731343032,0.619318182,0.663025705,14.72217685,15.13274595,5,2.086591414,2,9.217458351,10.04066892,45.452
161,532,1.099962273,0.757195378,0.791666667,0.78680468,32.34808207,31.32091953,10.04987562,4.301760269,4,20,21.12939379,92.178
162,728,1.114911008,0.751571446,0.63030303,0.740975211,37.96470793,37.20215048,12.20655562,4.775799918,4.242640687,24.9878019,25.04348401,111.114
163,880,1.243330065,0.813996169,0.606060606,0.645652828,45.64097803,45.45327271,13.92838828,4.899843317,4.242640687,27.48961439,26.51148592,130.872
164,805,1.160826217,0.806752022,0.737179487,0.748574045,42.00431136,43.60045871,12.16552506,4.956122123,4.472135955,24.98116938,24.81993405,116.248
165,1064,1.030683063,0.553516543,0.76,0.783548057,40.60778889,42.54409477,16.2788206,6.049165075,5.385164807,34,33.81971707,130.63
166,372,1.22706752,0.829504688,0.664285714,0.705164772,29.80451049,30.01666204,8.544003745,3.41890236,3,16.91835598,16.64581171,81.42
167,1016,1.216237039,0.807742628,0.655483871,0.709831619,48.31417589,49.49747468,13.15294644,5.256839973,5,28.75754983,28.48291125,134.114
168,712,1.150506885,0.742344038,0.635714286,0.608933631,37.95763223,39.81205847,11.18033989,4.433410698,4,26.97215059,25.43233106,121.216
169,430,1.235736048,0.850522962,0.577956989,0.70480149,32.58865803,32.69556545,8.544003745,3.576064788,3.16227766,16.25485108,17.13961087,87.56
170,744,1.257294003,0.845859599,0.591414944,0.699264931,43.06873249,45.27692569,12.04159458,4.584483064,4.123105626,23.33452378,22.97310329,115.63
171,866,1.469062715,0.898087245,0.514557338,0.540139472,52.08569293,57.30619513,12,4.502758696,4,23.39761261,22.90819134,141.942
172,384,1.28303356,0.789692301,0.492307692,0.567451212,30.22736535,31.40063694,8.246211251,3.179577584,2.828427125,18.8,18.54458274,92.216
173,431,1.277081827,0.855640594,0.624637681,0.68524288,33.2796074,32.01562119,8.485281374,3.502368722,3,17.35443663,17.2245415,88.904
174,579,1.288225569,0.869789169,0.590816327,0.630923813,39.09939733,37.58989226,9.219544457,3.939454753,3.605551275,20.24655716,19.29256349,107.388
175,732,1.169969379,0.822753501,0.757763975,0.74231828,40.61057174,41.10960958,11.70469991,4.780251639,4.242640687,22,23.0829817,111.318
176,185,1.585669414,0.915780334,0.646853147,0.552519178,25.41308277,25.49509757,5,2.251268734,2,10,10.20791308,64.866
177,433,1.039346685,0.627158167,0.751736111,0.85893228,26.74574471,26.62705391,10.44030651,4.035907214,3.605551275,20.57182539,20.83204463,79.592
178,494,1.132910313,0.660710232,0.68137931,0.579615564,30.22259497,33.01514804,9.848857802,3.742731322,3.16227766,23.97283531,22.6863205,103.49
179,618,1.197472777,0.813859927,0.695945946,0.736849677,37.55278156,36.67424164,10.63014581,4.270512302,4,21.768891,21.82046114,102.662
180,1118,1.264901162,0.842335846,0.562091503,0.68066211,52.80691525,53.71219601,13.45362405,5.374454998,5,29.71785355,28.46044472,143.668
181,649,1.238875585,0.843197417,0.529795918,0.615457787,39.86811281,40.80441153,10.29563014,4.199504647,3.605551275,21.12608519,21.43325893,115.114
182,607,1.129723291,0.766492759,0.616869919,0.630693728,35.18327696,40.04996879,12,4.382964968,4,23,22.5965634,109.974
183,829,1.147925344,0.736744462,0.607771261,0.677037727,40.78696445,44.92215489,13.45362405,4.891503702,4.242640687,27.10974261,27.57897388,124.044
184,738,1.034451782,0.454102593,0.698863636,0.726623123,32.93842253,36.12478374,13.60147051,4.992513996,4.242640687,28.99137803,29.34646781,112.974
185,361,1.464551616,0.901518816,0.546969697,0.598301545,33.70501987,35.77708764,7.615773106,3.067543497,2.828427125,14.53095484,14.58550708,87.076
186,718,1.776951662,0.949335225,0.641071429,0.521853809,54.35502012,56.75385449,8.544003745,3.820592207,3.605551275,16.73495813,17.08189255,131.49
187,324,1.200599036,0.736098921,0.588021779,0.620469587,26.1079697,28.28427125,7.810249676,3.051295324,2.828427125,18,17.67180523,81.006
188,616,1.431652735,0.899264335,0.543209877,0.555523891,43.4235126,44.38468204,9.899494937,3.856205751,3.605551275,19.84446402,18.99368745,118.044
189,741,1.238890318,0.814998446,0.59375,0.553538866,41.84165163,48.27007354,12.04159458,4.43803125,4,24.86491808,24.24569493,129.7
190,685,1.44648648,0.894895606,0.537254902,0.553563605,45.87039596,50.6359556,10,4.007806901,3.605551275,21.50348809,20.47083555,124.7
191,765,1.192148529,0.823216141,0.612980769,0.716002095,41.91599715,41.23105626,11.40175425,4.69048959,4.123105626,23.25510697,23.79688902,115.872
192,677,1.293960566,0.87051788,0.732683983,0.625836702,42.38507466,43.56604182,10.44030651,4.303141553,4,20,20.85925462,116.592
193,689,1.024607497,0.501921611,0.742456897,0.825906657,32.08966232,32.44996148,13.03840481,4.960576109,4.242640687,27.51181564,27.75476979,102.388
194,699,1.039252405,0.544562291,0.713265306,0.776071528,32.97386147,34.0147027,13,4.905446145,4.242640687,27,27.65585032,106.388
195,708,1.379654876,0.87367639,0.533936652,0.591629288,44.8498973,47.63402146,11.04536102,4.128675312,3.605551275,22.97297021,21.81981227,122.63
196,624,1.088816274,0.537507393,0.694104561,0.71819933,31.82113094,35,11.40175425,4.385004807,4,27.13594573,26.83345621,104.49
197,767,1.254520989,0.834587908,0.595959596,0.631319827,43.36144021,47.63402146,12.08304597,4.59346698,4.123105626,25.49117494,23.88672388,123.56
198,396,1.352415264,0.852562332,0.563300142,0.515534357,32.76094717,36.49657518,8,3.135921344,2.828427125,17.32312229,17.12170815,98.248
199,350,1.20821748,0.758494266,0.603448276,0.622205471,27.53406917,28.16025568,8,3.212832236,2.828427125,18.26895501,17.94339431,84.076
